ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi
,external,605970014-A,,Lavello in diorite 50 cm - trattato,1,0,visible,"Lavello in pietra dorite grigio scura con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata fine opaca, angoli arrotondati e trattamento idrorepellente. <br> Con o senza foro per il rubinetto di diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>sostegni in ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di diorite naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,40,50,40,18,0,,,316,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta, scolapiatti, sgocciolatoio",,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-1-1.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-cucina-in-pietra-60cm-2-lodi-605970014.htm,,0,
,external,607210079,,Lavello in granito 50 cm,1,0,visible,"Lavello in granito grigio, rosa o beige con esterno a spacco su tre lati e lato posteriore a taglio. Vasca con finitura levigata opaca. <br> Con foro o senza (solo grigio) foro per il rubinetto diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,55,50,35,18,0,,,195,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2022/08/50_1.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-50-cm-lodi-607210079.htm,,0,
,external,609031012,,Lavello in diorite 50 cm,1,0,visible,"Lavello in granito grigio, rosa o beige con esterno a spacco su tre lati e lato posteriore a taglio. Vasca con finitura finemente levigata, trattamento idrorepellente, angoli arrotondati. <br> Con foro o senza (solo grigio) foro per il rubinetto diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>sostegni in ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,45,50,35,18,0,,,288,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, diorite, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-14.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-15.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-8-1.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-7-1.jpg,https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-cucina-in-pietra-granito-50-lodi-609031012.htm,,0,
,external,607194507,,Lavello in granito 60 cm,1,0,visible,"Lavello in granito grigio o rosa, con esterno a spacco su tre lati e lato posteriore a taglio. Vasca con finitura levigata opaca. <br> Con foro o senza (solo grigio) foro per il rubinetto diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,270,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2022/03/60_con_foro_grigio.png,https://mondopietra.it/wp-content/uploads/2026/06/83a2a3a7-c43b-4b4c-90e7-7ebdbc33c728.png, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-60-cm-lodi-607194507.htm,,0,
,external,639161109,,Lavello in granito beige 60 cm - trattato,1,0,visible,"Lavello in granito grigio beige con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata fine opaca, angoli arrotondati e trattamento idrorepellente. <br> Con foro per il rubinetto diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,389,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-60-11-10.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-cucina-pietra-granito-60-4-lodi-639161109.htm,,0,
,external,605970014-B,,Lavello in diorite 60 cm - trattato,1,0,visible,"Lavello in pietra dorite grigio scura con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata fine opaca, angoli arrotondati e trattamento idrorepellente. <br> Con o senza foro per il rubinetto di diametro 3.5 cm. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>sostegni in ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di diorite naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,389,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta, scolapiatti, sgocciolatoio",,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-15.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-cucina-in-pietra-60cm-2-lodi-605970014.htm,,0,
,external,611571528,,Lavello in granito 80 cm - trattato,1,0,visible,"Lavello in granito grigio o beige con esterno a spacco su tre lati e lato posteriore a taglio. Vasca internamente finemente levigata, angoli arrotondati, con il trattamento idrorepellente.. <br> Senza foro per il rubinetto.<br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,88,80,45,22,0,,,470,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-80-5-7.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-cucina-pietra-granito-80-3-lodi-611571528.htm,,0,
,external,607112141,,Lavello in granito grigio 70 cm,1,0,visible,"Lavello in granito grigio o rosa con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata opaca. <br> Con foro per il rubinetto diametro 3.5 cm. <br> Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,110,70,45,22,0,,,395,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2026/06/c8148927-a35d-4de8-ac99-0d2336c38055.png,https://mondopietra.it/wp-content/uploads/2026/06/0bad6019-81a5-42c7-bad5-52fbdc4a08b6.png, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-70-cm-1-lodi-607112141.htm,,0,
,external,649368936-G,,Lavello in granito grigio 70 cm - trattato,1,0,visible,"Lavello in granito grigio con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata fine opaca, angoli arrotondati e trattamento idrorepellente. <br> Senza foro per il rubinetto. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,85,70,45,22,0,,,389,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2026/06/70-trattato-grigio.png, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-70-cm-2-lodi-649368936.htm?utm_medium=referral&utm_source=subito&utm_campaign=free-engagement-ad_detail,,0,
,external,649368936-R,,Lavello in granito rosa 70 cm - trattato,1,0,visible,"Lavello in granito rosa con esterno a spacco su tre lati e lato posteriore a taglio. Finitura interna levigata fine opaca, angoli arrotondati e trattamento idrorepellente. <br> Senza foro per il rubinetto. <br>Foro di scarico per piletta standard da 1-1/4''. Pendenza per il foro di scarico. <br><br>Disponibili inoltre:
<ul>
         <li>paraschizzi in granito</li>
         <li>sostegni in granito o ferro battuto</li>
         <li>rubinetteria in ottone</li>
</ul>","Lavello scavato da un unico blocco di granito naturale. Materiale autentico e di alta qualità. Estremamente resistente e durevole nel tempo, offre prestazioni superiori rispetto a marmo e pietra comune. Perfetto per giardini, porticati, lavanderie, taverne, cucine rustiche e ambienti dal fascino naturale.  Ideale per installazioni sia interne che esterne. Ogni pezzo presenta caratteristiche uniche della pietra naturale.",,,taxable,,1,,1,0,0,85,70,45,22,0,,,445,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno","esterno, lavello, granito, giardino, lavandino, vasca, vaschetta",,"https://mondopietra.it/wp-content/uploads/2026/06/70-trattato-grigio.png, https://mondopietra.it/wp-content/uploads/2022/08/piletta_e_sifone.jpg, https://mondopietra.it/wp-content/uploads/2022/09/piletta.jpg, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-granito-coppia.png, https://mondopietra.it/wp-content/uploads/2026/06/monosostegni.png, https://mondopietra.it/wp-content/uploads/2026/06/sostegni-ferro-battuto.png",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-70-cm-2-lodi-649368936.htm?utm_medium=referral&utm_source=subito&utm_campaign=free-engagement-ad_detail,,0,
